# {'participant': 'juan-carlos', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._01_1620', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00065804249524}
subj, EEG,trial,time, stimulus, response
juan-carlos,True,0,0.0003359318,stimulus,
juan-carlos,True,0,0.6185610294,tap,s
juan-carlos,True,1,0.7501890659,stimulus,
juan-carlos,True,1,1.4137468338,tap,l
juan-carlos,True,2,1.5002059937,stimulus,
juan-carlos,True,2,2.1845610142,tap,s
juan-carlos,True,3,2.2502968311,stimulus,
juan-carlos,True,3,2.9350559711,tap,s
juan-carlos,True,4,3.0003159046,stimulus,
juan-carlos,True,4,3.5154309273,tap,l
juan-carlos,True,5,3.7502989769,stimulus,
juan-carlos,True,5,4.3429079056,tap,s
juan-carlos,True,6,4.5002989769,stimulus,
juan-carlos,True,6,5.0691709518,tap,s
juan-carlos,True,7,5.2503700256,stimulus,
juan-carlos,True,7,5.6981599331,tap,l
juan-carlos,True,8,6.0003759861,stimulus,
juan-carlos,True,8,6.5581479073,tap,s
juan-carlos,True,9,6.7503800392,stimulus,
juan-carlos,True,9,7.2560119629,tap,s
juan-carlos,True,10,7.5003969669,stimulus,
juan-carlos,True,10,7.9255368710,tap,l
juan-carlos,True,11,8.2503550053,stimulus,
juan-carlos,True,11,8.7369349003,tap,s
juan-carlos,True,12,9.0003988743,stimulus,
juan-carlos,True,12,9.4186279774,tap,s
juan-carlos,True,13,9.7504429817,stimulus,
juan-carlos,True,13,10.1935679913,tap,l
juan-carlos,True,14,10.5004780293,stimulus,
juan-carlos,True,14,11.1305010319,tap,s
juan-carlos,True,15,11.2504670620,stimulus,
juan-carlos,True,15,11.8730590343,tap,s
juan-carlos,True,16,12.0004868507,stimulus,
juan-carlos,True,16,12.6317219734,tap,l
juan-carlos,True,17,12.7505018711,stimulus,
juan-carlos,True,18,13.5005228519,stimulus,
juan-carlos,True,18,13.5810348988,tap,s
juan-carlos,True,18,14.1327090263,tap,s
juan-carlos,True,19,14.2505459785,stimulus,
juan-carlos,True,19,14.9441449642,tap,l
juan-carlos,True,20,15.0005638599,stimulus,
juan-carlos,True,20,15.7270698547,tap,s
juan-carlos,True,21,15.7505750656,stimulus,
juan-carlos,True,21,16.4656379223,tap,l
juan-carlos,True,22,16.5005888939,stimulus,
juan-carlos,True,22,17.1756770611,tap,s
juan-carlos,True,23,17.2506048679,stimulus,
juan-carlos,True,23,17.8086678982,tap,s
juan-carlos,True,24,18.0006258488,stimulus,
juan-carlos,True,24,18.4943919182,tap,l
juan-carlos,True,25,18.7506508827,stimulus,
juan-carlos,True,25,19.2894868851,tap,s
juan-carlos,True,26,19.5006690025,stimulus,
juan-carlos,True,26,20.0116159916,tap,s
juan-carlos,True,27,20.2506909370,stimulus,
juan-carlos,True,27,20.6486999989,tap,l
juan-carlos,True,28,21.0007090569,stimulus,
juan-carlos,True,28,21.4885768890,tap,s
juan-carlos,True,29,21.7507209778,stimulus,
juan-carlos,True,29,22.2310738564,tap,s
juan-carlos,True,30,22.5007450581,stimulus,
juan-carlos,True,30,22.9937958717,tap,l
juan-carlos,True,31,23.2507648468,stimulus,
juan-carlos,True,31,23.8093209267,tap,s
juan-carlos,True,32,24.0007779598,stimulus,
juan-carlos,True,32,24.6003220081,tap,s
juan-carlos,True,33,24.7507989407,stimulus,
juan-carlos,True,33,25.3751299381,tap,l
juan-carlos,True,34,25.5008158684,stimulus,
juan-carlos,True,34,26.2067978382,tap,s
juan-carlos,True,35,26.2508099079,stimulus,
juan-carlos,True,35,26.8519730568,tap,s
juan-carlos,True,36,27.0008549690,stimulus,
juan-carlos,True,36,27.5133759975,tap,l
juan-carlos,True,37,27.7508759499,stimulus,
juan-carlos,True,37,28.2923259735,tap,s
juan-carlos,True,38,28.5008959770,stimulus,
juan-carlos,True,38,28.9616839886,tap,s
juan-carlos,True,39,29.2509129047,stimulus,
juan-carlos,True,39,29.6799459457,tap,l
juan-carlos,True,40,30.0009338856,stimulus,
juan-carlos,True,40,30.5276548862,tap,s
juan-carlos,True,41,30.7509670258,stimulus,
juan-carlos,True,41,31.2256639004,tap,s
juan-carlos,True,42,31.5009908676,stimulus,
