# {'participant': 'juan-carlos', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._01_1549', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00022888270905}
subj, EEG,trial,time, stimulus, response
juan-carlos,True,0,0.0003380775,stimulus,
juan-carlos,True,1,0.7501971722,stimulus,
juan-carlos,True,1,0.9010860920,tap,s
juan-carlos,True,2,1.5001971722,stimulus,
juan-carlos,True,2,1.6109061241,tap,s
juan-carlos,True,3,2.2501990795,stimulus,
juan-carlos,True,3,2.3409481049,tap,l
juan-carlos,True,4,3.0002510548,stimulus,
juan-carlos,True,4,3.0670871735,tap,s
juan-carlos,True,4,3.7282750607,tap,s
juan-carlos,True,5,3.7502691746,stimulus,
juan-carlos,True,5,4.4787440300,tap,l
juan-carlos,True,6,4.5002701283,stimulus,
juan-carlos,True,6,5.1926181316,tap,s
juan-carlos,True,7,5.2502930164,stimulus,
juan-carlos,True,7,5.9592010975,tap,s
juan-carlos,True,8,6.0003139973,stimulus,
juan-carlos,True,8,6.7095041275,tap,l
juan-carlos,True,9,6.7503030300,stimulus,
juan-carlos,True,9,7.4599599838,tap,s
juan-carlos,True,10,7.5003461838,stimulus,
juan-carlos,True,10,8.1818780899,tap,s
juan-carlos,True,11,8.2503650188,stimulus,
juan-carlos,True,11,8.9322869778,tap,l
juan-carlos,True,12,9.0003759861,stimulus,
juan-carlos,True,12,9.6543500423,tap,s
juan-carlos,True,13,9.7504110336,stimulus,
juan-carlos,True,13,10.3643951416,tap,s
juan-carlos,True,14,10.5004451275,stimulus,
juan-carlos,True,14,11.1225731373,tap,l
juan-carlos,True,15,11.2504332066,stimulus,
juan-carlos,True,15,11.8606750965,tap,s
juan-carlos,True,16,12.0004460812,stimulus,
juan-carlos,True,16,12.6233401299,tap,s
juan-carlos,True,17,12.7504630089,stimulus,
juan-carlos,True,17,13.3899011612,tap,l
juan-carlos,True,18,13.5004761219,stimulus,
juan-carlos,True,18,14.0716362000,tap,s
juan-carlos,True,19,14.2504990101,stimulus,
juan-carlos,True,19,14.8298761845,tap,s
juan-carlos,True,20,15.0005130768,stimulus,
juan-carlos,True,20,15.5761141777,tap,l
juan-carlos,True,21,15.7505350113,stimulus,
juan-carlos,True,21,16.3305461407,tap,s
juan-carlos,True,22,16.5005440712,stimulus,
juan-carlos,True,22,17.0485770702,tap,s
juan-carlos,True,23,17.2505671978,stimulus,
juan-carlos,True,23,17.7787129879,tap,l
juan-carlos,True,24,18.0005891323,stimulus,
juan-carlos,True,24,18.4804501534,tap,s
juan-carlos,True,25,18.7505791187,stimulus,
juan-carlos,True,25,19.2307231426,tap,s
juan-carlos,True,26,19.5006201267,stimulus,
juan-carlos,True,26,20.0420680046,tap,l
juan-carlos,True,27,20.2506401539,stimulus,
juan-carlos,True,27,20.8492190838,tap,s
juan-carlos,True,28,21.0006501675,stimulus,
juan-carlos,True,28,21.6320111752,tap,s
juan-carlos,True,29,21.7506661415,stimulus,
juan-carlos,True,29,22.4959411621,tap,l
juan-carlos,True,30,22.5006861687,stimulus,
juan-carlos,True,30,23.1976611614,tap,s
juan-carlos,True,31,23.2507071495,stimulus,
juan-carlos,True,31,23.9196751118,tap,s
juan-carlos,True,32,24.0007240772,stimulus,
juan-carlos,True,32,24.6376750469,tap,l
juan-carlos,True,33,24.7507390976,stimulus,
juan-carlos,True,33,25.4568631649,tap,s
juan-carlos,True,34,25.5007531643,stimulus,
juan-carlos,True,34,26.2397820950,tap,s
juan-carlos,True,35,26.2507731915,stimulus,
juan-carlos,True,35,26.9172260761,tap,l
juan-carlos,True,36,27.0007841587,stimulus,
juan-carlos,True,36,27.6959400177,tap,s
juan-carlos,True,37,27.7508029938,stimulus,
juan-carlos,True,37,28.4544692039,tap,s
juan-carlos,True,38,28.5008251667,stimulus,
juan-carlos,True,38,29.2007741928,tap,l
juan-carlos,True,39,29.2508361340,stimulus,
juan-carlos,True,39,29.9673969746,tap,s
juan-carlos,True,40,30.0008621216,stimulus,
juan-carlos,True,40,30.7258532047,tap,s
juan-carlos,True,41,30.7508771420,stimulus,
juan-carlos,True,41,31.4113731384,tap,l
juan-carlos,True,42,31.5008921623,stimulus,
juan-carlos,True,42,32.2184131145,tap,s
juan-carlos,True,43,32.2509071827,stimulus,
juan-carlos,True,43,32.9607009888,tap,s
juan-carlos,True,44,33.0009269714,stimulus,
juan-carlos,True,45,33.7509369850,stimulus,
juan-carlos,True,45,33.7519311905,tap,l
juan-carlos,True,46,34.5009620190,stimulus,
juan-carlos,True,46,34.5667970181,tap,s
juan-carlos,True,46,35.2442350388,tap,s
juan-carlos,True,47,35.2509841919,stimulus,
juan-carlos,True,48,36.0010011196,stimulus,
juan-carlos,True,48,36.0352361202,tap,l
juan-carlos,True,49,36.7510111332,stimulus,
juan-carlos,True,49,36.7978060246,tap,s
juan-carlos,True,50,37.5010390282,stimulus,
juan-carlos,True,50,37.5399789810,tap,s
juan-carlos,True,51,38.2510581017,stimulus,
juan-carlos,True,51,38.2742390633,tap,l
juan-carlos,True,51,38.9961550236,tap,s
juan-carlos,True,52,39.0010721684,stimulus,
juan-carlos,True,52,39.7424411774,tap,s
juan-carlos,True,53,39.7510941029,stimulus,
juan-carlos,True,54,40.5011091232,stimulus,
juan-carlos,True,54,40.5172410011,tap,l
juan-carlos,True,55,41.2511310577,stimulus,
juan-carlos,True,55,41.2674930096,tap,s
juan-carlos,True,56,42.0011441708,stimulus,
juan-carlos,True,56,42.0463180542,tap,s
juan-carlos,True,57,42.7512490749,stimulus,
juan-carlos,True,57,42.8048360348,tap,l
juan-carlos,True,58,43.5012459755,stimulus,
juan-carlos,True,58,43.5876250267,tap,s
juan-carlos,True,59,44.2512500286,stimulus,
juan-carlos,True,59,44.3825781345,tap,s
juan-carlos,True,60,45.0012481213,stimulus,
juan-carlos,True,60,45.0357441902,tap,l
juan-carlos,True,60,45.7455990314,tap,s
juan-carlos,True,61,45.7512521744,stimulus,
juan-carlos,True,62,46.5012490749,stimulus,
juan-carlos,True,62,46.5122480392,tap,s
juan-carlos,True,62,47.2301640511,tap,l
juan-carlos,True,63,47.2513279915,stimulus,
juan-carlos,True,63,47.9846000671,tap,s
juan-carlos,True,64,48.0013220310,stimulus,
juan-carlos,True,65,48.7513329983,stimulus,
juan-carlos,True,65,48.7998001575,tap,s
juan-carlos,True,66,49.5013351440,stimulus,
juan-carlos,True,66,49.5136570930,tap,l
juan-carlos,True,67,50.2513680458,stimulus,
juan-carlos,True,67,50.3126060963,tap,s
juan-carlos,True,68,51.0013730526,stimulus,
juan-carlos,True,68,51.0387079716,tap,s
juan-carlos,True,69,51.7513921261,stimulus,
juan-carlos,True,69,51.7931540012,tap,l
juan-carlos,True,69,52.4989080429,tap,s
juan-carlos,True,70,52.5014021397,stimulus,
juan-carlos,True,71,53.2514281273,stimulus,
juan-carlos,True,71,53.2857351303,tap,s
juan-carlos,True,71,53.9713401794,tap,l
juan-carlos,True,72,54.0014460087,stimulus,
juan-carlos,True,72,54.7298381329,tap,s
juan-carlos,True,73,54.7514569759,stimulus,
juan-carlos,True,74,55.5014882088,stimulus,
juan-carlos,True,74,55.5288810730,tap,s
juan-carlos,True,75,56.2515120506,stimulus,
juan-carlos,True,75,56.3076541424,tap,l
juan-carlos,True,75,56.9890830517,tap,s
juan-carlos,True,76,57.0015270710,stimulus,
juan-carlos,True,77,57.7515411377,stimulus,
juan-carlos,True,77,57.7838311195,tap,s
juan-carlos,True,77,58.4938411713,tap,l
juan-carlos,True,78,58.5015580654,stimulus,
juan-carlos,True,79,59.2515830994,stimulus,
juan-carlos,True,79,59.2565100193,tap,s
juan-carlos,True,80,60.0016090870,stimulus,
juan-carlos,True,80,60.0797860622,tap,s
juan-carlos,True,80,60.7329881191,tap,l
juan-carlos,True,81,60.7516200542,stimulus,
juan-carlos,True,82,61.5016431808,stimulus,
juan-carlos,True,82,61.5482740402,tap,s
juan-carlos,True,83,62.2516620159,stimulus,
juan-carlos,True,83,62.3310310841,tap,s
juan-carlos,True,84,63.0016820431,stimulus,
juan-carlos,True,84,63.0408110619,tap,l
juan-carlos,True,84,63.7344121933,tap,s
juan-carlos,True,85,63.7516989708,stimulus,
juan-carlos,True,85,64.4767260551,tap,s
juan-carlos,True,86,64.5017120838,stimulus,
juan-carlos,True,87,65.2517311573,stimulus,
juan-carlos,True,87,65.2677130699,tap,l
juan-carlos,True,87,65.9734880924,tap,s
juan-carlos,True,88,66.0017440319,stimulus,
juan-carlos,True,88,66.7441561222,tap,s
