# {'participant': 'toni', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_Feb_08_1650', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.015822811829935}
condition,block_num,subj, EEG,trial,time, stimulus, response
baseline_1,1,toni,True,0,0.0005663490,stimulus,
baseline_1,1,toni, True,0,0.6404893730,tap,l
baseline_1,1,toni,True,1,0.7502361520,stimulus,
baseline_1,1,toni, True,1,1.4403376430,tap,s
baseline_1,1,toni,True,2,1.5003278860,stimulus,
baseline_1,1,toni,True,3,2.2504509250,stimulus,
baseline_1,1,toni, True,3,2.2803197080,tap,l
baseline_1,1,toni, True,3,2.5122190610,tap,l
baseline_1,1,toni, True,3,2.9924021660,tap,l
baseline_1,1,toni,True,4,3.0005591780,stimulus,
baseline_1,1,toni,True,5,3.7506435710,stimulus,
baseline_1,1,toni, True,5,3.7922836720,tap,l
baseline_1,1,toni, True,5,4.4802562910,tap,l
baseline_1,1,toni,True,6,4.5007381050,stimulus,
baseline_1,1,toni,True,7,5.2508713020,stimulus,
baseline_1,1,toni, True,7,5.2724202860,tap,s
baseline_1,1,toni,True,8,6.0009674540,stimulus,
baseline_1,1,toni, True,8,6.0563697120,tap,s
baseline_1,1,toni,True,9,6.7510559860,stimulus,
baseline_1,1,toni, True,9,6.8563654640,tap,s
baseline_1,1,toni,True,10,7.5011909890,stimulus,
baseline_1,1,toni, True,10,7.5045560190,tap,l
baseline_1,1,toni,True,11,8.2512736550,stimulus,
baseline_1,1,toni, True,11,8.2885840530,tap,s
baseline_1,1,toni,True,12,9.0013956870,stimulus,
baseline_1,1,toni, True,12,9.0166065360,tap,l
baseline_1,1,toni,True,13,9.7514792840,stimulus,
baseline_1,1,toni, True,13,9.7923891950,tap,l
baseline_1,1,toni,True,14,10.5016172580,stimulus,
baseline_1,1,toni, True,14,10.5683051710,tap,l
baseline_1,1,toni,True,15,11.2517324480,stimulus,
baseline_1,1,toni, True,15,11.2644423410,tap,s
baseline_1,1,toni, True,15,11.9921867550,tap,s
baseline_1,1,toni,True,16,12.0018038930,stimulus,
baseline_1,1,toni,True,17,12.7519916040,stimulus,
baseline_1,1,toni, True,17,12.7842715020,tap,s
baseline_1,1,toni,True,18,13.5020924390,stimulus,
baseline_1,1,toni, True,18,13.5442771010,tap,s
baseline_1,1,toni, True,18,14.1847553610,tap,l
baseline_1,1,toni,True,19,14.2521946240,stimulus,
baseline_1,1,toni,True,20,15.0023106810,stimulus,
baseline_1,1,toni, True,20,15.0163260810,tap,s
baseline_1,1,toni, True,20,15.7044440960,tap,l
baseline_1,1,toni,True,21,15.7524381610,stimulus,
baseline_1,1,toni, True,21,16.4881402960,tap,l
baseline_1,1,toni,True,22,16.5026132870,stimulus,
baseline_1,1,toni, True,22,17.2243173160,tap,l
baseline_1,1,toni,True,23,17.2527299170,stimulus,
baseline_1,1,toni, True,23,17.9922098160,tap,l
baseline_1,1,toni,True,24,18.0028221850,stimulus,
baseline_1,1,toni, True,24,18.6883445790,tap,s
baseline_1,1,toni,True,25,18.7529672700,stimulus,
baseline_1,1,toni, True,25,19.4402784110,tap,l
baseline_1,1,toni,True,26,19.5030546290,stimulus,
baseline_1,1,toni,True,27,20.2531733210,stimulus,
baseline_1,1,toni, True,27,20.2565012970,tap,l
baseline_1,1,toni,True,28,21.0033145310,stimulus,
baseline_1,1,toni, True,28,21.0881966320,tap,l
baseline_1,1,toni,True,29,21.7534113250,stimulus,
baseline_1,1,toni, True,29,21.7602500110,tap,l
baseline_1,1,toni, True,29,22.4723386100,tap,s
baseline_1,1,toni,True,30,22.5035295360,stimulus,
baseline_1,1,toni,True,31,23.2536278150,stimulus,
baseline_1,1,toni, True,31,23.2807360490,tap,s
baseline_1,1,toni,True,32,24.0037285490,stimulus,
baseline_1,1,toni, True,32,24.0082906120,tap,l
