# {'participant': 'monica', 'session': 'N', 'EEG': 'No', 'date': '2022_Feb_16_1511', 'expName': 'FT-RSGT', 'frameRate': 60.01777187268586}
subj, EEG,trial,time, stimulus, response
monica,False,77,57.7592635680,stimulus,
monica, False,77,58.2866939070,tap,l
monica,False,78,58.5093957640,stimulus,
monica, False,78,59.0298601790,tap,l
monica,False,79,59.2595063740,stimulus,
monica, False,79,59.7294820940,tap,l
monica,False,80,60.0095943550,stimulus,
monica, False,80,60.4990503600,tap,l
monica,False,81,60.7597273540,stimulus,
monica, False,81,61.2264945580,tap,s
monica,False,82,61.5098654660,stimulus,
monica, False,82,61.9532251080,tap,l
monica,False,83,62.2599502140,stimulus,
monica, False,83,62.7152417650,tap,l
monica,False,84,63.0100489770,stimulus,
monica, False,84,63.4189064800,tap,s
monica,False,85,63.7601518490,stimulus,
monica, False,85,64.1513606110,tap,s
monica,False,86,64.5102416450,stimulus,
monica, False,86,64.8284515770,tap,s
monica,False,87,65.2603758460,stimulus,
monica, False,87,65.6384746560,tap,s
monica,False,88,66.0105081190,stimulus,
monica, False,88,66.4358326380,tap,s
monica,False,89,66.7605911910,stimulus,
monica, False,89,67.1081577850,tap,s
monica,False,90,67.5106762440,stimulus,
monica, False,90,67.8907181010,tap,s
monica,False,91,68.2607645840,stimulus,
monica, False,91,68.6442557100,tap,s
monica,False,92,69.0108693890,stimulus,
monica, False,92,69.3254595180,tap,s
monica,False,93,69.7610022880,stimulus,
monica, False,93,70.0590400360,tap,l
monica,False,94,70.5111116560,stimulus,
monica, False,94,70.8053174470,tap,l
monica,False,95,71.2611938090,stimulus,
monica, False,95,71.7671466730,tap,l
monica,False,96,72.0113144230,stimulus,
monica, False,96,72.5490702110,tap,l
monica,False,97,80.3295646780,probe_task,0
monica, False,97,99.0965893550,probe_intention,1
monica,False,98,102.8794674000,stimulus,
monica,False,99,103.6295266090,stimulus,
monica, False,99,103.6527729820,tap,s
monica, False,99,104.1494700520,tap,s
monica,False,100,104.3796418270,stimulus,
monica, False,100,104.6658230710,tap,l
monica,False,101,105.1297707160,stimulus,
monica, False,101,105.3175380950,tap,s
monica,False,102,105.8798682690,stimulus,
monica, False,102,105.9195965120,tap,s
monica, False,102,106.5694466070,tap,s
monica,False,103,106.6299988250,stimulus,
monica, False,103,107.2119993780,tap,s
monica,False,104,107.3801326710,stimulus,
monica, False,104,107.7145536120,tap,l
monica,False,105,108.1302728200,stimulus,
monica, False,105,108.4419602050,tap,l
monica,False,106,108.8803508690,stimulus,
monica, False,106,109.1760630430,tap,l
monica,False,107,109.6304289940,stimulus,
monica, False,107,109.8983383220,tap,l
monica,False,108,110.3805175440,stimulus,
monica, False,108,110.6563001360,tap,l
monica,False,109,111.1306311620,stimulus,
monica, False,109,111.2468341120,tap,l
monica,False,110,111.8807129060,stimulus,
monica, False,110,111.8981948730,tap,s
monica, False,110,112.5153107640,tap,s
monica,False,111,112.6308298360,stimulus,
monica, False,111,113.1039152810,tap,s
monica,False,112,113.3809699030,stimulus,
monica, False,112,113.9209638780,tap,s
monica,False,113,114.1310811240,stimulus,
monica, False,113,114.5930292190,tap,s
monica,False,114,114.8811963250,stimulus,
monica, False,114,115.2651549560,tap,l
monica,False,115,115.6313124280,stimulus,
monica, False,115,116.1368431240,tap,l
monica,False,116,116.3814070860,stimulus,
monica, False,116,116.8579048330,tap,l
monica,False,117,117.1314901010,stimulus,
monica, False,117,117.7008228880,tap,l
monica,False,118,117.8815987470,stimulus,
monica, False,118,118.4469389840,tap,l
monica,False,119,118.6317273390,stimulus,
monica, False,119,119.0970507960,tap,s
monica,False,120,119.3818179290,stimulus,
monica, False,120,119.8257163760,tap,l
monica,False,121,120.1319266020,stimulus,
monica, False,121,120.5828821760,tap,l
monica,False,122,120.8820434740,stimulus,
monica, False,122,121.2920114720,tap,s
monica,False,123,121.6321419860,stimulus,
monica, False,123,121.9763752810,tap,s
monica,False,124,122.3822764580,stimulus,
monica, False,124,122.7498322760,tap,l
monica,False,125,123.1323521870,stimulus,
monica, False,125,123.4620198770,tap,l
monica,False,126,123.8824795910,stimulus,
monica, False,126,124.2558721830,tap,s
monica,False,127,124.6325833840,stimulus,
monica, False,127,125.1066033850,tap,s
monica,False,128,125.3826626680,stimulus,
monica, False,128,125.8146050400,tap,s
monica,False,129,126.1327707630,stimulus,
monica, False,129,126.5504315340,tap,s
monica,False,130,126.8829674880,stimulus,
monica, False,130,127.2597694080,tap,l
monica,False,131,127.6330657200,stimulus,
monica, False,131,128.0774944770,tap,l
monica,False,132,128.3831949310,stimulus,
monica, False,132,128.8846483270,tap,l
monica,False,133,129.1333041890,stimulus,
monica, False,133,129.6423775270,tap,l
monica,False,134,129.8833926830,stimulus,
monica, False,134,130.2895731900,tap,s
monica,False,135,130.6335307340,stimulus,
monica, False,135,131.1222077320,tap,s
monica,False,136,131.3836410190,stimulus,
monica, False,136,131.8558207120,tap,s
monica,False,137,132.1337239630,stimulus,
monica, False,137,132.6535784230,tap,s
monica,False,138,132.8838033910,stimulus,
monica, False,138,133.3550067630,tap,s
monica,False,139,133.6338783140,stimulus,
monica, False,139,134.1455695720,tap,s
monica,False,140,134.3839895980,stimulus,
monica, False,140,134.8633959470,tap,s
