# {'participant': 'corentin', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._02_1555', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00494997803983}
condition,block_num, subj, EEG, trial,time, stimulus, response
baseline_1,1,corentin,Yes,51,38.2511539459,stimulus,
baseline_1,1,corentin,Yes,51,38.9193069935,tap,s
baseline_1,1,corentin,Yes,52,39.0011730194,stimulus,
baseline_1,1,corentin,Yes,52,39.6497440338,tap,s
baseline_1,1,corentin,Yes,53,39.7511520386,stimulus,
baseline_1,1,corentin,Yes,53,40.4452750683,tap,s
baseline_1,1,corentin,Yes,54,40.5012071133,stimulus,
baseline_1,1,corentin,Yes,54,41.2444710732,tap,s
baseline_1,1,corentin,Yes,55,41.2511999607,stimulus,
baseline_1,1,corentin,Yes,55,41.9141969681,tap,l
baseline_1,1,corentin,Yes,56,42.0012099743,stimulus,
baseline_1,1,corentin,Yes,56,42.6325290203,tap,l
baseline_1,1,corentin,Yes,57,42.7512309551,stimulus,
baseline_1,1,corentin,Yes,57,43.3183729649,tap,l
baseline_1,1,corentin,Yes,58,43.5012509823,stimulus,
baseline_1,1,corentin,Yes,58,44.1340949535,tap,l
baseline_1,1,corentin,Yes,59,49.3473100662,probe_task,2
baseline_1,1,corentin, Yes,59,53.4143199921,probe_intention,1
baseline_1,1,corentin,Yes,59,62.5144360065,probe_distraction,1
baseline_1,1,corentin,Yes,60,66.2973101139,stimulus,
baseline_1,1,corentin,Yes,60,67.0471599102,tap,s
baseline_1,1,corentin,Yes,61,67.0482990742,stimulus,
baseline_1,1,corentin,Yes,61,67.7612309456,tap,l
baseline_1,1,corentin,Yes,62,67.7973980904,stimulus,
baseline_1,1,corentin,Yes,62,68.4755239487,tap,l
baseline_1,1,corentin,Yes,63,68.5474169254,stimulus,
baseline_1,1,corentin,Yes,63,69.2384200096,tap,s
baseline_1,1,corentin,Yes,64,69.2974350452,stimulus,
baseline_1,1,corentin,Yes,64,69.9973430634,tap,s
baseline_1,1,corentin,Yes,65,70.0474579334,stimulus,
baseline_1,1,corentin,Yes,65,70.7441010475,tap,l
baseline_1,1,corentin,Yes,66,70.7974760532,stimulus,
baseline_1,1,corentin,Yes,66,71.5394530296,tap,s
baseline_1,1,corentin,Yes,67,71.5474951267,stimulus,
baseline_1,1,corentin,Yes,67,72.2861909866,tap,l
baseline_1,1,corentin,Yes,68,72.2975161076,stimulus,
baseline_1,1,corentin,Yes,68,73.0328400135,tap,l
baseline_1,1,corentin,Yes,69,73.0475449562,stimulus,
baseline_1,1,corentin,Yes,69,73.7471890450,tap,s
baseline_1,1,corentin,Yes,70,73.7975559235,stimulus,
baseline_1,1,corentin,Yes,71,74.5475690365,stimulus,
baseline_1,1,corentin,Yes,71,74.5667479038,tap,l
baseline_1,1,corentin,Yes,72,75.2975831032,stimulus,
baseline_1,1,corentin,Yes,72,75.3134651184,tap,s
baseline_1,1,corentin,Yes,72,76.0399091244,tap,l
baseline_1,1,corentin,Yes,73,76.0475931168,stimulus,
baseline_1,1,corentin,Yes,73,76.7501070499,tap,l
baseline_1,1,corentin,Yes,74,76.7976160049,stimulus,
baseline_1,1,corentin,Yes,74,77.5171220303,tap,l
baseline_1,1,corentin,Yes,75,77.5476379395,stimulus,
baseline_1,1,corentin,Yes,75,78.2881090641,tap,l
baseline_1,1,corentin,Yes,76,78.2976620197,stimulus,
baseline_1,1,corentin,Yes,76,79.0226209164,tap,s
baseline_1,1,corentin,Yes,77,79.0476839542,stimulus,
baseline_1,1,corentin,Yes,77,79.7652530670,tap,s
baseline_1,1,corentin,Yes,78,79.7977039814,stimulus,
baseline_1,1,corentin,Yes,78,80.5322859287,tap,s
baseline_1,1,corentin,Yes,79,80.5477170944,stimulus,
baseline_1,1,corentin,Yes,80,81.2977449894,stimulus,
baseline_1,1,corentin,Yes,80,81.3478929996,tap,l
baseline_1,1,corentin,Yes,80,82.0295901299,tap,s
baseline_1,1,corentin,Yes,81,82.0477600098,stimulus,
baseline_1,1,corentin,Yes,81,82.7804150581,tap,s
baseline_1,1,corentin,Yes,82,82.7977759838,stimulus,
baseline_1,1,corentin,Yes,82,83.4744329453,tap,l
baseline_1,1,corentin,Yes,83,83.5478019714,stimulus,
baseline_1,1,corentin,Yes,84,84.2978188992,stimulus,
baseline_1,1,corentin,Yes,84,84.3063271046,tap,l
baseline_1,1,corentin,Yes,85,85.0478420258,stimulus,
baseline_1,1,corentin,Yes,85,85.0489780903,tap,s
baseline_1,1,corentin,Yes,85,85.7266469002,tap,l
baseline_1,1,corentin,Yes,86,85.7978479862,stimulus,
baseline_1,1,corentin,Yes,86,86.4369220734,tap,s
baseline_1,1,corentin,Yes,87,86.5478680134,stimulus,
baseline_1,1,corentin,Yes,87,87.2444019318,tap,s
baseline_1,1,corentin,Yes,88,87.2978799343,stimulus,
baseline_1,1,corentin,Yes,88,87.9586780071,tap,s
baseline_1,1,corentin,Yes,89,88.0479009151,stimulus,
baseline_1,1,corentin,Yes,89,88.6851470470,tap,l
baseline_1,1,corentin,Yes,90,88.7979199886,stimulus,
baseline_1,1,corentin,Yes,90,89.4277780056,tap,l
baseline_1,1,corentin,Yes,91,89.5479400158,stimulus,
baseline_1,1,corentin,Yes,91,90.2353141308,tap,l
baseline_1,1,corentin,Yes,92,90.2979559898,stimulus,
baseline_1,1,corentin,Yes,92,91.0144329071,tap,s
baseline_1,1,corentin,Yes,93,91.0479779243,stimulus,
baseline_1,1,corentin,Yes,94,91.7979960442,stimulus,
baseline_1,1,corentin,Yes,94,91.9233450890,tap,s
baseline_1,1,corentin,Yes,94,92.5281250477,tap,s
baseline_1,1,corentin,Yes,95,92.5480298996,stimulus,
baseline_1,1,corentin,Yes,95,93.1896839142,tap,l
baseline_1,1,corentin,Yes,96,93.2980270386,stimulus,
baseline_1,1,corentin,Yes,96,93.9809749126,tap,s
baseline_1,1,corentin,Yes,97,94.0480511189,stimulus,
baseline_1,1,corentin,Yes,97,94.7156109810,tap,l
baseline_1,1,corentin,Yes,98,94.7981290817,stimulus,
baseline_1,1,corentin,Yes,98,95.4338519573,tap,l
baseline_1,1,corentin,Yes,99,95.5481300354,stimulus,
baseline_1,1,corentin,Yes,99,96.2252190113,tap,l
baseline_1,1,corentin,Yes,100,96.2981309891,stimulus,
baseline_1,1,corentin,Yes,100,97.0164299011,tap,s
baseline_1,1,corentin,Yes,101,97.0481309891,stimulus,
baseline_1,1,corentin,Yes,101,97.7834999561,tap,s
baseline_1,1,corentin,Yes,102,97.7981491089,stimulus,
baseline_1,1,corentin,Yes,102,98.4937219620,tap,l
baseline_1,1,corentin,Yes,103,98.5482199192,stimulus,
baseline_1,1,corentin,Yes,103,99.2485599518,tap,s
baseline_1,1,corentin,Yes,104,99.2982211113,stimulus,
baseline_1,1,corentin,Yes,104,99.8289220333,tap,l
baseline_1,1,corentin,Yes,105,100.0482230186,stimulus,
baseline_1,1,corentin,Yes,105,100.6080489159,tap,s
baseline_1,1,corentin,Yes,106,100.7982749939,stimulus,
baseline_1,1,corentin,Yes,106,101.3832230568,tap,s
baseline_1,1,corentin,Yes,107,101.5482430458,stimulus,
baseline_1,1,corentin,Yes,107,102.1299140453,tap,s
baseline_1,1,corentin,Yes,108,102.2982649803,stimulus,
baseline_1,1,corentin,Yes,108,102.8806130886,tap,l
baseline_1,1,corentin,Yes,109,103.0482909679,stimulus,
baseline_1,1,corentin,Yes,109,103.5583589077,tap,s
baseline_1,1,corentin,Yes,110,103.7983119488,stimulus,
baseline_1,1,corentin,Yes,110,104.2848451138,tap,l
baseline_1,1,corentin,Yes,111,104.5483291149,stimulus,
baseline_1,1,corentin,Yes,111,105.0679719448,tap,l
baseline_1,1,corentin,Yes,112,105.2983469963,stimulus,
baseline_1,1,corentin,Yes,112,105.7903931141,tap,l
baseline_1,1,corentin,Yes,113,106.0483629704,stimulus,
baseline_1,1,corentin,Yes,113,106.5167500973,tap,s
baseline_1,1,corentin,Yes,114,106.7983820438,stimulus,
baseline_1,1,corentin,Yes,114,107.3689260483,tap,s
baseline_1,1,corentin,Yes,115,107.5483989716,stimulus,
baseline_1,1,corentin,Yes,115,107.9899609089,tap,l
baseline_1,1,corentin,Yes,116,108.2984130383,stimulus,
baseline_1,1,corentin,Yes,116,108.8177540302,tap,l
baseline_1,1,corentin,Yes,117,109.0484309196,stimulus,
baseline_1,1,corentin,Yes,117,109.5685079098,tap,s
baseline_1,1,corentin,Yes,118,109.7984471321,stimulus,
baseline_1,1,corentin,Yes,118,110.4286971092,tap,l
baseline_1,1,corentin,Yes,119,110.5484690666,stimulus,
baseline_1,1,corentin,Yes,120,111.2984941006,stimulus,
baseline_1,1,corentin,Yes,120,111.3174359798,tap,l
baseline_1,1,corentin,Yes,120,112.0154709816,tap,s
baseline_1,1,corentin,Yes,121,112.0485091209,stimulus,
baseline_1,1,corentin,Yes,121,112.7786750793,tap,s
baseline_1,1,corentin,Yes,122,112.7985301018,stimulus,
baseline_1,1,corentin,Yes,122,113.5170819759,tap,s
