# {'participant': 'corentin', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._02_1652', 'expName': 'FT-RSGT-rTMS', 'frameRate': 59.99696746895231}
condition,block_num,subj, EEG,trial,time, stimulus, response
baseline_3,3,corentin,True,54,41.2363309860,tap,s
baseline_3,3,corentin,True,55,41.2511928082,stimulus,
baseline_3,3,corentin,True,55,41.9385559559,tap,l
baseline_3,3,corentin,True,56,42.0012149811,stimulus,
baseline_3,3,corentin,True,57,42.7512347698,stimulus,
baseline_3,3,corentin,True,57,42.7907938957,tap,l
baseline_3,3,corentin,True,58,43.5012559891,stimulus,
baseline_3,3,corentin,True,58,43.5579798222,tap,l
baseline_3,3,corentin,True,58,44.2398278713,tap,s
baseline_3,3,corentin,True,59,44.2512738705,stimulus,
baseline_3,3,corentin,True,59,44.9339418411,tap,l
baseline_3,3,corentin,True,60,45.0012907982,stimulus,
baseline_3,3,corentin,True,60,45.6726369858,tap,s
baseline_3,3,corentin,True,61,45.7513067722,stimulus,
baseline_3,3,corentin,True,62,46.5013718605,stimulus,
baseline_3,3,corentin,True,62,46.5452749729,tap,l
baseline_3,3,corentin,True,63,47.2513468266,stimulus,
baseline_3,3,corentin,True,63,47.3610069752,tap,l
baseline_3,3,corentin,True,64,53.3170599937,probe_task,3
baseline_3,3,corentin, True,64,58.1173818111,probe_intention,0
baseline_3,3,corentin,True,64,61.1339647770,probe_distraction,0
baseline_3,3,corentin,True,65,64.9172267914,stimulus,
baseline_3,3,corentin,True,65,64.9216759205,tap,s
baseline_3,3,corentin,True,65,65.6476438046,tap,l
baseline_3,3,corentin,True,66,65.6670429707,stimulus,
baseline_3,3,corentin,True,66,66.3985629082,tap,l
baseline_3,3,corentin,True,67,66.4170677662,stimulus,
baseline_3,3,corentin,True,67,67.1291518211,tap,s
baseline_3,3,corentin,True,68,67.1670877934,stimulus,
baseline_3,3,corentin,True,68,67.8800377846,tap,s
baseline_3,3,corentin,True,69,67.9170958996,stimulus,
baseline_3,3,corentin,True,69,68.5620348454,tap,l
baseline_3,3,corentin,True,70,68.6671199799,stimulus,
baseline_3,3,corentin,True,70,69.3575658798,tap,s
baseline_3,3,corentin,True,71,69.4171359539,stimulus,
baseline_3,3,corentin,True,71,70.1571569443,tap,s
baseline_3,3,corentin,True,72,70.1671478748,stimulus,
baseline_3,3,corentin,True,72,70.8917858601,tap,l
baseline_3,3,corentin,True,73,70.9171638489,stimulus,
baseline_3,3,corentin,True,74,71.6671919823,stimulus,
baseline_3,3,corentin,True,74,71.7116608620,tap,l
baseline_3,3,corentin,True,75,72.4172117710,stimulus,
baseline_3,3,corentin,True,75,72.5031859875,tap,l
baseline_3,3,corentin,True,75,73.1487898827,tap,s
baseline_3,3,corentin,True,76,73.1672649384,stimulus,
baseline_3,3,corentin,True,76,73.8427298069,tap,l
baseline_3,3,corentin,True,77,73.9172399044,stimulus,
baseline_3,3,corentin,True,77,74.5043189526,tap,s
baseline_3,3,corentin,True,78,74.6672549248,stimulus,
baseline_3,3,corentin,True,78,75.3891108036,tap,l
baseline_3,3,corentin,True,79,75.4172708988,stimulus,
baseline_3,3,corentin,True,80,76.1672899723,stimulus,
baseline_3,3,corentin,True,80,76.1682968140,tap,l
baseline_3,3,corentin,True,80,76.8745739460,tap,l
baseline_3,3,corentin,True,81,76.9173028469,stimulus,
baseline_3,3,corentin,True,81,77.6337637901,tap,s
baseline_3,3,corentin,True,82,77.6673269272,stimulus,
baseline_3,3,corentin,True,83,78.4173388481,stimulus,
baseline_3,3,corentin,True,83,78.4373610020,tap,s
baseline_3,3,corentin,True,84,79.1673629284,stimulus,
baseline_3,3,corentin,True,84,79.2126469612,tap,l
baseline_3,3,corentin,True,85,79.9173829556,stimulus,
baseline_3,3,corentin,True,85,80.0730559826,tap,s
baseline_3,3,corentin,True,86,80.6673989296,stimulus,
baseline_3,3,corentin,True,86,80.7265789509,tap,s
baseline_3,3,corentin,True,87,81.4174218178,stimulus,
baseline_3,3,corentin,True,87,81.4570848942,tap,l
baseline_3,3,corentin,True,88,82.1674339771,stimulus,
baseline_3,3,corentin,True,88,82.2040438652,tap,l
baseline_3,3,corentin,True,89,82.9174578190,stimulus,
baseline_3,3,corentin,True,89,82.9711658955,tap,s
baseline_3,3,corentin,True,90,83.6674678326,stimulus,
baseline_3,3,corentin,True,90,83.7058877945,tap,l
baseline_3,3,corentin,True,91,84.4174928665,stimulus,
baseline_3,3,corentin,True,91,84.4527418613,tap,s
baseline_3,3,corentin,True,92,85.1675028801,stimulus,
baseline_3,3,corentin,True,92,85.2156898975,tap,l
baseline_3,3,corentin,True,93,85.9175858498,stimulus,
baseline_3,3,corentin,True,93,85.9787988663,tap,l
baseline_3,3,corentin,True,94,86.6675858498,stimulus,
baseline_3,3,corentin,True,94,86.7377228737,tap,s
baseline_3,3,corentin,True,95,87.4176027775,stimulus,
baseline_3,3,corentin,True,95,87.4642989635,tap,s
baseline_3,3,corentin,True,95,88.1664757729,tap,l
baseline_3,3,corentin,True,96,88.1675879955,stimulus,
baseline_3,3,corentin,True,97,88.9175889492,stimulus,
baseline_3,3,corentin,True,97,88.9458978176,tap,l
baseline_3,3,corentin,True,98,89.6676588058,stimulus,
baseline_3,3,corentin,True,98,89.6927189827,tap,s
baseline_3,3,corentin,True,99,90.4176418781,stimulus,
baseline_3,3,corentin,True,99,90.4314939976,tap,l
baseline_3,3,corentin,True,99,91.1620988846,tap,s
baseline_3,3,corentin,True,100,91.1676609516,stimulus,
baseline_3,3,corentin,True,101,91.9176437855,stimulus,
baseline_3,3,corentin,True,101,91.9779448509,tap,l
baseline_3,3,corentin,True,101,92.6640248299,tap,l
baseline_3,3,corentin,True,102,92.6676838398,stimulus,
baseline_3,3,corentin,True,102,93.3580288887,tap,s
baseline_3,3,corentin,True,103,93.4176969528,stimulus,
baseline_3,3,corentin,True,104,94.1677119732,stimulus,
baseline_3,3,corentin,True,104,94.1779379845,tap,s
baseline_3,3,corentin,True,105,94.9177298546,stimulus,
baseline_3,3,corentin,True,105,94.9289028645,tap,l
baseline_3,3,corentin,True,105,95.6513488293,tap,s
baseline_3,3,corentin,True,106,95.6677517891,stimulus,
baseline_3,3,corentin,True,107,96.4177498817,stimulus,
baseline_3,3,corentin,True,107,96.4469709396,tap,l
baseline_3,3,corentin,True,108,97.1677939892,stimulus,
baseline_3,3,corentin,True,108,97.2302258015,tap,s
baseline_3,3,corentin,True,109,97.9178049564,stimulus,
baseline_3,3,corentin,True,109,97.9811949730,tap,s
baseline_3,3,corentin,True,110,98.6678187847,stimulus,
baseline_3,3,corentin,True,110,98.6995999813,tap,l
baseline_3,3,corentin,True,111,99.4178438187,stimulus,
baseline_3,3,corentin,True,111,99.4748148918,tap,l
baseline_3,3,corentin,True,112,100.1678578854,stimulus,
baseline_3,3,corentin,True,112,100.2176859379,tap,s
baseline_3,3,corentin,True,113,100.9178757668,stimulus,
baseline_3,3,corentin,True,113,100.9361169338,tap,s
baseline_3,3,corentin,True,113,101.6504747868,tap,l
baseline_3,3,corentin,True,114,101.6678879261,stimulus,
baseline_3,3,corentin,True,114,102.3973078728,tap,l
baseline_3,3,corentin,True,115,102.4179029465,stimulus,
baseline_3,3,corentin,True,115,103.1563649178,tap,l
baseline_3,3,corentin,True,116,103.1679248810,stimulus,
baseline_3,3,corentin,True,117,103.9179439545,stimulus,
baseline_3,3,corentin,True,117,103.9357278347,tap,l
baseline_3,3,corentin,True,118,104.6679959297,stimulus,
baseline_3,3,corentin,True,118,104.6826069355,tap,l
baseline_3,3,corentin,True,119,105.4179837704,stimulus,
baseline_3,3,corentin,True,119,105.4659278393,tap,l
baseline_3,3,corentin,True,120,106.1679999828,stimulus,
baseline_3,3,corentin,True,120,106.2290749550,tap,l
baseline_3,3,corentin,True,121,106.9179949760,stimulus,
baseline_3,3,corentin,True,121,107.3573389053,tap,s
baseline_3,3,corentin,True,122,107.6680448055,stimulus,
baseline_3,3,corentin,True,122,107.9378697872,tap,s
baseline_3,3,corentin,True,123,108.4180579185,stimulus,
baseline_3,3,corentin,True,123,108.6116108894,tap,l
baseline_3,3,corentin,True,124,109.1680698395,stimulus,
baseline_3,3,corentin,True,124,109.2773609161,tap,l
baseline_3,3,corentin,True,125,109.9180848598,stimulus,
baseline_3,3,corentin,True,125,109.9227218628,tap,s
baseline_3,3,corentin,True,125,110.6007258892,tap,l
baseline_3,3,corentin,True,126,110.6681029797,stimulus,
baseline_3,3,corentin,True,126,111.3840589523,tap,s
baseline_3,3,corentin,True,127,111.4181180000,stimulus,
baseline_3,3,corentin,True,128,112.1681408882,stimulus,
baseline_3,3,corentin,True,128,112.1958367825,tap,l
baseline_3,3,corentin,True,129,112.9181599617,stimulus,
baseline_3,3,corentin,True,129,112.9467539787,tap,l
baseline_3,3,corentin,True,130,113.6681828499,stimulus,
baseline_3,3,corentin,True,130,113.7463808060,tap,s
baseline_3,3,corentin,True,131,114.4182019234,stimulus,
baseline_3,3,corentin,True,131,114.4608287811,tap,s
baseline_3,3,corentin,True,131,115.1306188107,tap,s
baseline_3,3,corentin,True,132,115.1682159901,stimulus,
baseline_3,3,corentin,True,132,115.8530647755,tap,l
baseline_3,3,corentin,True,133,115.9182298183,stimulus,
baseline_3,3,corentin,True,133,116.6241848469,tap,l
baseline_3,3,corentin,True,134,116.6682498455,stimulus,
baseline_3,3,corentin,True,135,117.4182918072,stimulus,
baseline_3,3,corentin,True,135,117.4237978458,tap,s
baseline_3,3,corentin,True,136,118.1683039665,stimulus,
baseline_3,3,corentin,True,136,118.1990618706,tap,s
baseline_3,3,corentin,True,137,118.9183177948,stimulus,
baseline_3,3,corentin,True,137,119.1650028229,tap,s
baseline_3,3,corentin,True,138,119.6683378220,stimulus,
baseline_3,3,corentin,True,138,119.8184947968,tap,l
baseline_3,3,corentin,True,138,120.3828859329,tap,l
baseline_3,3,corentin,True,139,120.4183549881,stimulus,
baseline_3,3,corentin,True,139,121.0850539207,tap,s
baseline_3,3,corentin,True,140,121.1683709621,stimulus,
baseline_3,3,corentin,True,141,121.9183988571,stimulus,
baseline_3,3,corentin,True,141,121.9292678833,tap,s
baseline_3,3,corentin,True,141,122.6234278679,tap,l
baseline_3,3,corentin,True,142,122.6684169769,stimulus,
baseline_3,3,corentin,True,142,123.3419427872,tap,l
baseline_3,3,corentin,True,143,123.4184288979,stimulus,
baseline_3,3,corentin,True,143,124.0886387825,tap,l
baseline_3,3,corentin,True,144,124.1684508324,stimulus,
baseline_3,3,corentin,True,145,124.9184668064,stimulus,
baseline_3,3,corentin,True,145,124.9978308678,tap,s
baseline_3,3,corentin,True,145,125.5864508152,tap,s
baseline_3,3,corentin,True,146,125.6685149670,stimulus,
baseline_3,3,corentin,True,146,126.3941488266,tap,s
baseline_3,3,corentin,True,147,126.4185049534,stimulus,
baseline_3,3,corentin,True,147,127.0963749886,tap,l
baseline_3,3,corentin,True,148,127.1685249805,stimulus,
baseline_3,3,corentin,True,148,127.8595218658,tap,l
baseline_3,3,corentin,True,149,127.9185409546,stimulus,
baseline_3,3,corentin,True,149,128.6427829266,tap,l
baseline_3,3,corentin,True,150,128.6685588360,stimulus,
baseline_3,3,corentin,True,150,129.3490338326,tap,s
baseline_3,3,corentin,True,151,129.4186429977,stimulus,
baseline_3,3,corentin,True,152,130.1686718464,stimulus,
baseline_3,3,corentin,True,152,130.1892027855,tap,s
baseline_3,3,corentin,True,152,130.8873839378,tap,l
baseline_3,3,corentin,True,153,130.9186449051,stimulus,
baseline_3,3,corentin,True,153,131.6667449474,tap,l
baseline_3,3,corentin,True,154,131.6686449051,stimulus,
baseline_3,3,corentin,True,154,132.3933458328,tap,l
baseline_3,3,corentin,True,155,132.4186468124,stimulus,
baseline_3,3,corentin,True,155,133.1321258545,tap,s
baseline_3,3,corentin,True,156,133.1687598228,stimulus,
baseline_3,3,corentin,True,156,133.8666479588,tap,s
baseline_3,3,corentin,True,157,133.9187369347,stimulus,
baseline_3,3,corentin,True,157,134.6580569744,tap,s
baseline_3,3,corentin,True,158,134.6686918736,stimulus,
baseline_3,3,corentin,True,158,135.3968598843,tap,s
baseline_3,3,corentin,True,159,135.4187369347,stimulus,
baseline_3,3,corentin,True,159,136.1477458477,tap,s
baseline_3,3,corentin,True,160,136.1687397957,stimulus,
baseline_3,3,corentin,True,160,136.8337368965,tap,s
baseline_3,3,corentin,True,161,136.9187629223,stimulus,
baseline_3,3,corentin,True,161,137.5360198021,tap,l
baseline_3,3,corentin,True,162,137.6687769890,stimulus,
baseline_3,3,corentin,True,162,138.3030657768,tap,l
baseline_3,3,corentin,True,163,138.4187939167,stimulus,
baseline_3,3,corentin,True,163,139.0662138462,tap,l
baseline_3,3,corentin,True,164,139.1688058376,stimulus,
baseline_3,3,corentin,True,165,139.9188408852,stimulus,
baseline_3,3,corentin,True,165,139.9307799339,tap,l
baseline_3,3,corentin,True,165,140.5964548588,tap,s
baseline_3,3,corentin,True,166,140.6688477993,stimulus,
baseline_3,3,corentin,True,166,141.3310859203,tap,s
baseline_3,3,corentin,True,167,141.4188609123,stimulus,
baseline_3,3,corentin,True,167,142.1144979000,tap,l
baseline_3,3,corentin,True,168,142.1688759327,stimulus,
baseline_3,3,corentin,True,168,142.8613178730,tap,l
baseline_3,3,corentin,True,169,142.9188938141,stimulus,
baseline_3,3,corentin,True,170,143.6689429283,stimulus,
baseline_3,3,corentin,True,170,143.6700158119,tap,s
baseline_3,3,corentin,True,171,148.8642258644,probe_task,2
baseline_3,3,corentin, True,171,153.2471549511,probe_intention,1
baseline_3,3,corentin,True,171,155.5803139210,probe_distraction,0
baseline_3,3,corentin,True,172,159.3636279106,stimulus,
baseline_3,3,corentin,True,172,159.6474118233,tap,l
baseline_3,3,corentin,True,173,160.1134428978,stimulus,
baseline_3,3,corentin,True,173,160.1994040012,tap,s
baseline_3,3,corentin,True,174,160.8634529114,stimulus,
baseline_3,3,corentin,True,174,160.9179089069,tap,l
baseline_3,3,corentin,True,175,161.6134707928,stimulus,
